dataset,mitigation,protected_attribute,strength,alpha,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
German Credit,Adversarial Debiasing,Age,weak,0.1,42,0.7066666666666667,0.811965811965812,,0.06105457909343204,0.053830227743271175,0.022993311036789366,0.9297872340425531,0.0085784313725491,0.0031897926634768536,0.0,0.9900568181818181,0.1272727272727272,0.17647058823529416,0.17647058823529416,0.8576271186440678
German Credit,Adversarial Debiasing,Age,weak,0.1,123,0.72,0.8264462809917356,,0.0018501387604070718,0.015240998285387719,0.015240998285387719,0.9979777553083923,0.03210222845566457,0.04601883561643838,0.04601883561643838,0.9656838247542896,0.08152173913043481,0.07499999999999996,0.0714285714285714,0.9147727272727273
German Credit,Adversarial Debiasing,Age,weak,0.1,456,0.7066666666666667,0.8095238095238095,,0.13899194643018742,0.1957671957671957,0.1957671957671957,0.8383668315268862,0.02868941534449032,0.047720797720797736,0.047720797720797736,0.9666582470320788,0.25551782682512736,0.31818181818181823,0.31818181818181823,0.7119617224880382
German Credit,Adversarial Debiasing,Age,weak,0.1,789,0.6933333333333334,0.8059071729957806,,0.10049597528254328,0.14252499418739828,0.14252499418739828,0.8878911564625851,0.051190899395663014,0.05555555555555558,0.03421718560897791,0.9429024583663759,0.12829957028852057,0.22188449848024316,0.22188449848024316,0.8584010840108401
German Credit,Adversarial Debiasing,Age,weak,0.1,1000,0.6966666666666667,0.814663951120163,,0.027999999999999914,0.08994708994708989,0.004650081376424087,0.9708333333333334,0.01409313725490191,0.040723981900452566,0.03095975232198145,0.9850260416666667,0.07692307692307687,0.13953488372093026,0.08333333333333337,0.9230769230769231
German Credit,Adversarial Debiasing,Age,medium,1.0,42,0.6966666666666667,0.8076109936575053,,0.020099234715330927,0.07453416149068315,0.015468227424749181,0.9775079992471297,0.028186274509803932,0.038548752834467126,0.038548752834467126,0.9685362517099864,0.0802139037433155,0.11764705882352944,0.11764705882352944,0.9147727272727273
German Credit,Adversarial Debiasing,Age,medium,1.0,123,0.7166666666666667,0.8218029350104822,,0.029518122950130343,0.05555555555555558,0.03734044579919993,0.967736005147532,0.03475144148355924,0.05709440361786322,0.028467465753424626,0.9619778346121057,0.16666666666666663,0.30000000000000004,0.0757575757575758,0.8333333333333334
German Credit,Adversarial Debiasing,Age,medium,1.0,456,0.7,0.801762114537445,,0.1350104062980726,0.1693121693121693,0.1693121693121693,0.8378613344925017,0.08237339708758962,0.14331896551724133,0.07977207977207978,0.9055451713395639,0.28777589134125636,0.2857142857142857,0.27727272727272734,0.6869806094182825
German Credit,Adversarial Debiasing,Age,medium,1.0,789,0.68,0.7957446808510639,,0.03577526628181149,0.023482910950941682,0.023482910950941682,0.9589972975491567,0.02945508100147276,0.03883815601276275,0.03883815601276275,0.9667774086378738,0.11616161616161613,0.23076923076923084,0.07902735562310037,0.8693181818181819
German Credit,Adversarial Debiasing,Age,medium,1.0,1000,0.69,0.8098159509202454,,0.05999999999999994,0.1428571428571429,0.01534526854219953,0.9387755102040817,0.011029411764705843,0.040723981900452566,0.006191950464396245,0.9882352941176471,0.08108108108108103,0.15000000000000002,0.08333333333333337,0.918918918918919
German Credit,Adversarial Debiasing,Age,strong,10.0,42,0.6066666666666667,0.7216981132075472,,0.11285846438482883,0.2960662525879917,0.0025083612040133207,0.8604118993135011,0.06924019607843135,0.12599681020733655,0.04761904761904756,0.9089443996776794,0.14884135472370774,0.3312401883830456,0.0980392156862745,0.8213903743315507
German Credit,Adversarial Debiasing,Age,strong,10.0,123,0.6833333333333333,0.7991543340380549,,0.09578672945925493,0.11602209944751385,0.11602209944751385,0.8999560825647782,0.05407511298114376,0.05879027699265116,0.05393835616438358,0.940835464620631,0.14754098360655743,0.19999999999999996,0.12878787878787878,0.8524590163934426
