dataset,mitigation,protected_attribute,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,age_dpd_mean,age_dpd_std,age_eod_mean,age_eod_std,age_eopd_mean,age_eopd_std,age_di_mean,age_di_std,sex_dpd_mean,sex_dpd_std,sex_eod_mean,sex_eod_std,sex_eopd_mean,sex_eopd_std,sex_di_mean,sex_di_std,intersection_dpd_mean,intersection_dpd_std,intersection_eod_mean,intersection_eod_std,intersection_eopd_mean,intersection_eopd_std,intersection_di_mean,intersection_di_std
Adult Income,Calibrated Equalized Odds,Age,Logistic Regression,0.8092332889753301,0.02450062550804336,0.43673837924725606,0.1515469584907136,,,0.1165818654411275,0.05899105447740416,0.17186534376554544,0.08810984367897576,0.17186534376554544,0.08810984367897576,0.11231095600884448,0.05892233008544504,0.09558394732167508,0.04434426343721783,0.056319867719835846,0.030149473324659126,0.05533652234428441,0.03178306545070395,0.31926216319725287,0.02326615786764462,0.15206778425887052,0.0750939405613557,0.3491458515265819,0.15781041651519437,0.3491458515265819,0.15781041651519437,0.06672899787650882,0.03424047316701389
Adult Income,Calibrated Equalized Odds,Age,Random Forest,0.7962534548060191,0.009705116413756864,0.3690476954216705,0.08042784625798269,,,0.08392608375951616,0.02974459954841258,0.1791606008086278,0.11929962031731378,0.1791606008086278,0.11929962031731378,0.17103840809390125,0.09209282428459599,0.07842700883283285,0.02497393535170942,0.05435295639626899,0.022003304592840604,0.051709882009485716,0.027789170550638995,0.29787939379425465,0.04660470397120063,0.11633387722087159,0.03928939165327871,0.41910872655612624,0.09333258826094445,0.41910872655612624,0.09333258826094445,0.08450179423515962,0.06769308128354161
Adult Income,Calibrated Equalized Odds,Age,XGBoost,0.8084348449175964,0.026800536196596104,0.3999682438118827,0.18000364209453593,,,0.09248655640593875,0.05617789760004983,0.23182153986891474,0.11694491098543698,0.23182153986891474,0.11694491098543698,0.19601273074227762,0.19517942950644546,0.07813886715627436,0.042605903576114545,0.046595629750767455,0.02501291642098678,0.04561589138352652,0.02706195099831729,0.340410034184738,0.055523595795896455,0.12253580813359514,0.07117439236921143,0.414790015134278,0.11031750484654566,0.414790015134278,0.11031750484654566,0.11751759199510695,0.12377939062479502
Adult Income,Calibrated Equalized Odds,Sex,Logistic Regression,0.830668440986795,0.013670641116312148,0.5624400321396458,0.07076328790353006,,,0.16959546867891334,0.03319998920292752,0.2183892256369508,0.15674031151904733,0.2170973797717502,0.15857236946309075,0.05332979137263398,0.015084302814153084,0.10712359723362475,0.04706526554556483,0.10383556074382141,0.08121199600461852,0.09350727918902449,0.09171100339540923,0.4486354589839336,0.1372995204961972,0.20620433043656247,0.05190793689927121,0.36689467769039685,0.15929547925222742,0.36689467769039685,0.15929547925222742,0.03913595845087485,0.011671507421373618
Adult Income,Calibrated Equalized Odds,Sex,Random Forest,0.8224792711638858,0.010718607423887116,0.5223238705723555,0.06118415455465984,,,0.1472393314153125,0.029481320155316477,0.18839791038297254,0.12128462636920337,0.18839791038297254,0.12128462636920337,0.0741482722706487,0.01914705895418302,0.09397590052092099,0.0429824809715543,0.09849546259766542,0.08295473193395805,0.09191805390261858,0.0887092613695765,0.4564845708313392,0.1550461793419653,0.1804576243228914,0.0451845666916403,0.40011080998359505,0.14930427157636378,0.40011080998359505,0.14930427157636378,0.04826532365005934,0.026226130609724025
Adult Income,Calibrated Equalized Odds,Sex,XGBoost,0.8489507626164399,0.014272910462680869,0.6177304793765683,0.061052621060892286,,,0.17651955511218617,0.027397342553407113,0.20734383683151264,0.18314830576982438,0.20403579487121282,0.1870943891636685,0.060386643631138916,0.015945806165328584,0.11592147124040508,0.04124104158354314,0.08788544057442285,0.08033939209142676,0.07869988513748116,0.08824164573022401,0.42498201837983285,0.11383606553937303,0.21633345451138872,0.04318112810870554,0.32541462928712056,0.14763028823730331,0.32541462928712056,0.14763028823730331,0.04285770512457877,0.013872990541363475
German Credit,Calibrated Equalized Odds,Age,Logistic Regression,0.7053333333333333,0.010165300454651319,0.8257271704337181,0.005297222003015277,,,0.05446569781511279,0.06854675651494306,0.09133362611623483,0.13102836698289796,0.018478260869565232,0.03835277992255948,0.9455343021848872,0.06854675651494306,0.015743050246129587,0.013203090245084165,0.029849526521003145,0.027178161480081262,0.007917921266867411,0.014210818699088138,0.9841388084947192,0.013375013938320529,0.06414620589193645,0.07194572241159938,0.1181793770139635,0.15361308028502973,0.03002070393374743,0.06315548257834223,0.9358537941080636,0.07194572241159938
German Credit,Calibrated Equalized Odds,Age,Random Forest,0.7006666666666665,0.0059628479399994605,0.8235776479906598,0.003361078243482068,,,0.008781027667984187,0.015596145177925944,0.013814124683689899,0.025255496529742925,0.0021739130434782704,0.004861017342390869,0.9911900566693653,0.015659232469785886,0.008210784313725484,0.013560922561640078,0.01810570381998953,0.0334035374850324,0.0027210884353741525,0.006084538714285149,0.9917892156862745,0.013560922561640085,0.015042263239606713,0.02804179700451555,0.02395118230358504,0.045885936431702336,0.0028985507246376717,0.006481356456521109,0.9849577367603933,0.028041797004515562
German Credit,Calibrated Equalized Odds,Age,XGBoost,0.696,0.00722649446289296,0.8200319585430549,0.004906219183865146,,,0.013190201544015045,0.014295663916059454,0.021638351430956847,0.025383189620405144,0.01115545463891685,0.01173978702184745,0.986717360538829,0.014384444622770793,0.006479059446568259,0.00814399471709825,0.02028522793439589,0.025231053065987614,0.014966736901619159,0.015553867867879895,0.9934857227578474,0.008146171136966142,0.023484848484848463,0.022151805329111263,0.04967032967032965,0.046592629062556595,0.02438923395445134,0.030185667985589755,0.9765151515151516,0.022151805329111245
German Credit,Calibrated Equalized Odds,Sex,Logistic Regression,0.706,0.0136218778278017,0.8232826166062079,0.006193256028566815,,,0.03173344357742276,0.03231609299850306,0.05956283699250451,0.05834038562820199,0.024793514243642133,0.0230956206599749,0.9665064876204342,0.035260400930708806,0.009916505352861682,0.00620193753915146,0.022427106380571837,0.010313883102908622,0.006178888587447129,0.0055332596112977195,0.9895845091558865,0.006953645786241227,0.044062214438299316,0.03633024728437635,0.0995746298519408,0.08345446266514094,0.04412032079198498,0.058206627043789115,0.9538308294995208,0.03922294201445618
German Credit,Calibrated Equalized Odds,Sex,Random Forest,0.7,0.006236095644623219,0.8231153805689562,0.003524350705330167,,,0.004777840416988166,0.005201566611287447,0.004301632818256884,0.004533726877988713,0.003243431760055815,0.004851416216739501,0.9952028047443022,0.005235229469204715,0.006132280498406262,0.0068221648429945755,0.010398211943528057,0.013160475641060319,0.004063370314568782,0.006074458439686958,0.9938520235680478,0.006850378069911913,0.009695622712071495,0.01337412010881005,0.01485343794268279,0.021954614120118014,0.004327122153209096,0.006469937888066231,0.9903043772879284,0.013374120108810061
German Credit,Calibrated Equalized Odds,Sex,XGBoost,0.696,0.00722649446289296,0.8200319585430549,0.004906219183865146,,,0.013190201544015045,0.014295663916059454,0.021638351430956847,0.025383189620405144,0.01115545463891685,0.01173978702184745,0.986717360538829,0.014384444622770793,0.006479059446568259,0.00814399471709825,0.02028522793439589,0.025231053065987614,0.014966736901619159,0.015553867867879895,0.9934857227578474,0.008146171136966142,0.023484848484848463,0.022151805329111263,0.04967032967032965,0.046592629062556595,0.02438923395445134,0.030185667985589755,0.9765151515151516,0.022151805329111245
