dataset,mitigation,protected_attribute,model,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
German Credit,Reweighing,Age,Logistic Regression,42,0.7033333333333334,0.814968814968815,0.6444444444444446,0.03675048355899413,0.03105590062111796,0.01170568561872909,0.9595744680851065,0.011029411764705843,0.023923444976076458,0.0045351473922902175,0.9878378378378379,0.10784313725490191,0.11764705882352944,0.11764705882352944,0.8854166666666667
German Credit,Reweighing,Age,Logistic Regression,123,0.7166666666666667,0.8254620123203286,0.6597354497354498,0.03523673366411573,0.030291484092208054,0.030291484092208054,0.9620642824807605,0.03319308087891548,0.07687959299039004,0.016695205479452024,0.9649209486166007,0.08214285714285718,0.10476190476190472,0.05102040816326525,0.9141791044776119
German Credit,Reweighing,Age,Logistic Regression,456,0.7,0.8043478260869565,0.6474074074074074,0.15835670980001804,0.23809523809523814,0.23809523809523814,0.8150105708245243,0.02173440556400774,0.0431034482758621,0.035612535612535634,0.9743950838561005,0.2920203735144312,0.38636363636363635,0.38636363636363635,0.6647173489278753
German Credit,Reweighing,Age,Logistic Regression,789,0.6933333333333334,0.8075313807531381,0.6117989417989418,0.09204000325229689,0.10439432690072081,0.10439432690072081,0.8986752595775153,0.005281600731298575,0.02167455165584775,0.02167455165584775,0.994111318724874,0.11375661375661383,0.19300911854103342,0.19300911854103342,0.8774928774928774
German Credit,Reweighing,Age,Logistic Regression,1000,0.7133333333333334,0.8259109311740891,0.6828571428571428,0.008000000000000007,0.05291005291005291,0.01674029295512669,0.9915611814345991,0.028799019607843146,0.03302373581011353,0.03302373581011353,0.9698717948717949,0.09677419354838712,0.13953488372093026,0.08333333333333337,0.9032258064516129
German Credit,Reweighing,Sex,Logistic Regression,42,0.7033333333333334,0.814968814968815,0.6472486772486772,0.03675048355899413,0.03105590062111796,0.01170568561872909,0.9595744680851065,0.011029411764705843,0.023923444976076458,0.0045351473922902175,0.9878378378378379,0.10784313725490191,0.11764705882352944,0.11764705882352944,0.8854166666666667
German Credit,Reweighing,Sex,Logistic Regression,123,0.72,0.8271604938271605,0.659153439153439,0.0565133294087965,0.06944444444444442,0.030291484092208054,0.9391579900407425,0.02244039270687237,0.04239683436970032,0.016695205479452024,0.9760119940029985,0.08757763975155286,0.15476190476190477,0.05102040816326525,0.9085009733939
German Credit,Reweighing,Sex,Logistic Regression,456,0.6966666666666667,0.8017429193899782,0.6461904761904763,0.15446565921636046,0.2328042328042328,0.2328042328042328,0.818732080280344,0.02640730276026948,0.0431034482758621,0.04202279202279202,0.968890026885162,0.2920203735144312,0.38636363636363635,0.38636363636363635,0.6647173489278753
German Credit,Reweighing,Sex,Logistic Regression,789,0.6933333333333334,0.8075313807531381,0.6101587301587302,0.09204000325229689,0.10439432690072081,0.10439432690072081,0.8986752595775153,0.005281600731298575,0.02167455165584775,0.02167455165584775,0.994111318724874,0.11375661375661383,0.19300911854103342,0.19300911854103342,0.8774928774928774
German Credit,Reweighing,Sex,Logistic Regression,1000,0.7166666666666667,0.8275862068965517,0.6834391534391535,0.027999999999999914,0.01674029295512669,0.01674029295512669,0.9704641350210972,0.023897058823529327,0.03469079939668174,0.03302373581011353,0.9748711340206186,0.048125544899738526,0.08333333333333337,0.08333333333333337,0.9494134897360703
German Credit,Reweighing,Age,Random Forest,42,0.6733333333333333,0.7782805429864253,0.5944444444444446,0.059204440333024966,0.06211180124223603,0.01295986622073575,0.9243498817966903,0.07291666666666663,0.09569377990430628,0.07709750566893425,0.9113924050632912,0.15775401069518713,0.25,0.1483375959079284,0.8173374613003096
German Credit,Reweighing,Age,Random Forest,123,0.6733333333333333,0.7841409691629956,0.6411904761904763,0.030947775628626717,0.15277777777777768,0.056772718613069206,0.9621749408983451,0.025557113916160223,0.11531938948558507,0.01690924657534243,0.9688804554079696,0.09420289855072472,0.28431372549019607,0.09523809523809523,0.8869565217391303
German Credit,Reweighing,Age,Random Forest,456,0.6766666666666666,0.7780320366132724,0.6223809523809524,0.12315627545018548,0.11631016042780751,0.05291005291005291,0.8409489307000118,0.001195392306020393,0.061422413793103425,0.05698005698005704,0.9984209015216767,0.19541160593792173,0.26363636363636367,0.26363636363636367,0.7476472638550018
German Credit,Reweighing,Age,Random Forest,789,0.6966666666666667,0.796420581655481,0.6103439153439153,0.16367184323928785,0.27283653846153844,0.024645431295047593,0.7996017919362866,0.024833680361586508,0.07407407407407407,0.029926284519749102,0.968881252386407,0.2502645502645503,0.354515050167224,0.2142857142857143,0.7030759573132455
German Credit,Reweighing,Age,Random Forest,1000,0.68,0.788546255506608,0.596931216931217,0.11199999999999999,0.1322751322751322,0.02952801674029293,0.8653846153846154,0.031862745098039214,0.1885369532428356,0.08221534227726168,0.9613095238095238,0.16873449131513651,0.23720930232558146,0.2055555555555556,0.8005865102639296
German Credit,Reweighing,Sex,Random Forest,42,0.6666666666666666,0.7737556561085973,0.5908201058201058,0.059204440333024966,0.051421404682274185,0.051421404682274185,0.9243498817966903,0.08823529411764708,0.12599681020733655,0.08390022675736963,0.8941176470588235,0.19393939393939397,0.2289002557544757,0.2289002557544757,0.7830508474576271
German Credit,Reweighing,Sex,Random Forest,123,0.6733333333333333,0.7841409691629956,0.6292857142857143,0.05617694054326805,0.15277777777777768,0.016765098113926458,0.9316693944353518,0.009973507869721066,0.11531938948558507,0.03938356164383561,0.9877839282305784,0.08944099378881998,0.28431372549019607,0.04421768707482987,0.8920539730134931
German Credit,Reweighing,Sex,Random Forest,456,0.6833333333333333,0.7806004618937644,0.6280687830687831,0.13473893765270106,0.13235294117647056,0.04761904761904767,0.823327005220693,0.017496196479026338,0.0883190883190883,0.0883190883190883,0.9768511861969805,0.24787775891341257,0.4545454545454546,0.4545454545454546,0.6798245614035088
German Credit,Reweighing,Sex,Random Forest,789,0.6833333333333333,0.7855530474040632,0.6300000000000001,0.24530449630051232,0.38100961538461536,0.05161590327830734,0.6996515679442508,0.06607079376364844,0.12037037037037035,0.012542633953130156,0.9172075855924652,0.34708994708994717,0.4727954971857411,0.3571428571428571,0.5810983397190294
German Credit,Reweighing,Sex,Random Forest,1000,0.6666666666666666,0.7787610619469026,0.610978835978836,0.128,0.1111369448965357,0.1111369448965357,0.8454106280193237,0.037377450980392135,0.20814479638009042,0.0777433780529756,0.9543413173652695,0.20099255583126552,0.288888888888889,0.288888888888889,0.7624633431085044
German Credit,Reweighing,Age,XGBoost,42,0.6433333333333333,0.7551487414187643,0.5817195767195767,0.014212429568581264,0.09109730848861286,0.06897993311036787,0.9812721631205674,0.051470588235294046,0.10845295055821369,0.03401360544217691,0.9349845201238391,0.13333333333333341,0.23913043478260865,0.23913043478260865,0.8399999999999999
German Credit,Reweighing,Age,XGBoost,123,0.65,0.7608200455580866,0.6097354497354497,0.12303422756706761,0.16250714421794632,0.16250714421794632,0.842789598108747,0.031323048153342636,0.10288298473713964,0.0023544520547945647,0.9600952948183443,0.23416149068322978,0.2571428571428571,0.2571428571428571,0.7221812822402358
German Credit,Reweighing,Age,XGBoost,456,0.6933333333333334,0.7830188679245284,0.6472751322751323,0.18116007601122075,0.19047619047619047,0.19047619047619047,0.7549571603427172,0.0056509454466420195,0.04525862068965514,0.007834757834757844,0.9920960632314941,0.23174872665534807,0.2727272727272728,0.2727272727272728,0.6942889137737962
German Credit,Reweighing,Age,XGBoost,789,0.6766666666666666,0.7780320366132724,0.6206084656084656,0.24579234084071877,0.2956730769230769,0.12787723785166238,0.691530612244898,0.036514143517342945,0.08333333333333326,0.014303003630762534,0.9524848004229447,0.25454545454545463,0.3470919324577861,0.18439716312056742,0.6818181818181818
German Credit,Reweighing,Age,XGBoost,1000,0.69,0.7947019867549668,0.5975925925925927,0.10799999999999998,0.20634920634920628,0.06277609858172517,0.8695652173913043,0.05759803921568629,0.1945701357466063,0.05159958720330238,0.9304733727810651,0.19694397283531406,0.31701346389228885,0.07863849765258213,0.7661290322580645
German Credit,Reweighing,Sex,XGBoost,42,0.6533333333333333,0.7647058823529411,0.5772751322751323,0.041712219325540256,0.08074534161490676,0.04724080267558528,0.9484085708342002,0.042279411764705954,0.05215419501133789,0.05215419501133789,0.9472880061115354,0.1336898395721925,0.23529411764705888,0.23529411764705888,0.8484848484848485
German Credit,Reweighing,Sex,XGBoost,123,0.6566666666666666,0.7643020594965675,0.6332275132275133,0.06467075939786393,0.08249190321966093,0.08249190321966093,0.9156613292388682,0.005765934237182524,0.03391746749576041,0.020119863013698613,0.9923977809739059,0.13354037267080743,0.30000000000000004,0.09632034632034625,0.8300395256916996
German Credit,Reweighing,Sex,XGBoost,456,0.6733333333333333,0.7655502392344498,0.6418253968253969,0.10352004343498333,0.15873015873015872,0.15873015873015872,0.8538205980066444,0.010215170615083702,0.04525862068965514,0.0035612535612534746,0.9853285469018261,0.1307300509337861,0.2338557993730408,0.2338557993730408,0.8157894736842105
German Credit,Reweighing,Sex,XGBoost,789,0.6866666666666666,0.7844036697247706,0.6355291005291005,0.24180827709569885,0.31850961538461536,0.0843989769820972,0.6950056404471336,0.016352648418058946,0.007591594234789278,0.007591594234789278,0.978444236176195,0.26883116883116887,0.354515050167224,0.13677811550151975,0.6698564593301435
German Credit,Reweighing,Sex,XGBoost,1000,0.68,0.7857142857142857,0.6116931216931217,0.1120000000000001,0.24338624338624337,0.08416647291327595,0.8620689655172412,0.06372549019607843,0.17496229260935137,0.02958376332989332,0.9216867469879518,0.22920203735144307,0.34638922888616897,0.09272300469483563,0.7278225806451614
Adult Income,Reweighing,Age,Logistic Regression,42,0.8480908997850343,0.6413726437892702,0.8988123613339093,0.2074720114355029,0.27204937649578037,0.27204937649578037,0.0533355220004064,0.14541482950103796,0.05694640848415927,0.01971557129489032,0.3689726355205949,0.25674730290262393,0.45238095238095233,0.45238095238095233,0.03933432602347112
Adult Income,Reweighing,Age,Logistic Regression,123,0.8468625243115979,0.633692458374143,0.8928648242362874,0.20185055177740027,0.13941302431036662,0.13941302431036662,0.045679763071067414,0.15032693613318418,0.06895518353772118,0.06895518353772118,0.33501489378082067,0.2518877670300967,0.17660400568946294,0.17660400568946294,0.030351072262684405
Adult Income,Reweighing,Age,Logistic Regression,456,0.8448152318558706,0.6315021876519202,0.8975647964457457,0.19870700156329696,0.2600579418062728,0.2600579418062728,0.07273881355744898,0.15357160391021682,0.07489290939753085,0.07489290939753085,0.33645668820767816,0.2557301740812379,0.38333408977442923,0.38333408977442923,0.038454545454545457
Adult Income,Reweighing,Age,Logistic Regression,789,0.8483979936533934,0.6363859562975693,0.9019283070515519,0.20103416798773355,0.3660102739726028,0.3660102739726028,0.045411950716310275,0.14443279539766674,0.046630286701524463,0.04626582679706548,0.3567345411281436,0.2524602435936532,0.5593984962406015,0.5593984962406015,0.025203576013732812
Adult Income,Reweighing,Age,Logistic Regression,1000,0.8431773978912888,0.6252446183953033,0.8958184864885687,0.19862745665145173,0.07719298245614037,0.07719298245614037,0.06391158345173975,0.14967632565984212,0.07432856585398961,0.07432856585398961,0.34106155957827233,0.25275327205142456,0.15482897384305838,0.15482897384305838,0.04139326663841082
Adult Income,Reweighing,Sex,Logistic Regression,42,0.8465554304432388,0.6411299976059373,0.8981100310557013,0.20664349161159037,0.21793676785489352,0.21793676785489352,0.07338160522749293,0.07930617587402455,0.17524921132111426,0.17524921132111426,0.6272950103774383,0.2376793407005057,0.7857142857142857,0.7857142857142857,0.03833124928953052
Adult Income,Reweighing,Sex,Logistic Regression,123,0.8451223257242297,0.6303444905936966,0.8924319727891155,0.20150563507843022,0.19695175714825547,0.19695175714825547,0.05118095334224936,0.09330655880356102,0.10578612434849544,0.10578612434849544,0.5524540057387335,0.2347289205293798,0.33302625518194384,0.33302625518194384,0.023246906185184733
Adult Income,Reweighing,Sex,Logistic Regression,456,0.8428703040229297,0.6260657734470159,0.8966941637110555,0.19253529407063166,0.13555863458873918,0.13555863458873918,0.09318115275221682,0.09131795153581942,0.11172385020830511,0.11172385020830511,0.5647711666567671,0.2333575112830432,0.6515151515151516,0.6515151515151516,0.03296372987776367
Adult Income,Reweighing,Sex,Logistic Regression,789,0.8454294195925888,0.6327821011673151,0.8996382815631307,0.19863889748599592,0.3681506849315068,0.3681506849315068,0.0725602571818784,0.07735658663733894,0.17828306986554787,0.17828306986554787,0.6245981329578578,0.23052227779051898,0.530791788856305,0.530791788856305,0.0323948535084147
Adult Income,Reweighing,Sex,Logistic Regression,1000,0.8410277408127751,0.6231497209415191,0.8954359652719117,0.1948667407547637,0.06455393656395998,0.012665810868635052,0.09328000108748845,0.07651695317245,0.16541965694508065,0.16541965694508065,0.6292045128487646,0.22858453215281976,0.18767908309455583,0.18767908309455583,0.047592901508154206
Adult Income,Reweighing,Age,Random Forest,42,0.8391851776026206,0.641733181299886,0.8822617408160515,0.22537081031023037,0.18780702859302179,0.18780702859302179,0.08970526843115972,0.17324906042270627,0.08203075963107642,0.056541131775213915,0.34583544426598833,0.2914857300517674,0.3095238095238095,0.3095238095238095,0.043136797376791484
Adult Income,Reweighing,Age,Random Forest,123,0.8409253761899887,0.6414397784956161,0.8758276686028328,0.22103131432763423,0.1805265146743923,0.1805265146743923,0.08039638300507866,0.18353500291651131,0.08738457760730484,0.07861537286332942,0.3006171944289986,0.29229034631999734,0.21908276630915308,0.21908276630915308,0.021984501023117442
