dataset,mitigation,protected_attribute,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,age_dpd_mean,age_dpd_std,age_eod_mean,age_eod_std,age_eopd_mean,age_eopd_std,age_di_mean,age_di_std,sex_dpd_mean,sex_dpd_std,sex_eod_mean,sex_eod_std,sex_eopd_mean,sex_eopd_std,sex_di_mean,sex_di_std,intersection_dpd_mean,intersection_dpd_std,intersection_eod_mean,intersection_eod_std,intersection_eopd_mean,intersection_eopd_std,intersection_di_mean,intersection_di_std
Adult Income,Reweighing,Age,Logistic Regression,0.846268809499437,0.0022291057144837208,0.6336395729016412,0.005966353175368795,0.8973977551112127,0.003376257771415134,0.2015382378830771,0.003607278803900223,0.2229447198082326,0.1145398668998458,0.2229447198082326,0.1145398668998458,0.05621552655939457,0.01191912637789912,0.14868449812038956,0.0037527601980953157,0.06435067079498508,0.012254936096802178,0.05683161137623949,0.023814759810141094,0.34764806364310197,0.014709923007500814,0.25391575193180727,0.002173269161480808,0.3453093035857009,0.17570475115174283,0.3453093035857009,0.17570475115174283,0.03494735727856892,0.006876821948218004
Adult Income,Reweighing,Age,Random Forest,0.8392465963762923,0.004191703189131245,0.6391612672193927,0.008902998576506171,0.8779806961209724,0.0040598055491770915,0.22200375374302167,0.003713053650304499,0.19842835444343135,0.1229626844061241,0.19842835444343135,0.1229626844061241,0.0860941223320693,0.014470146971985435,0.18226919433753713,0.006208918596356581,0.09530105956859744,0.0187461494291741,0.0876937932686788,0.02640297609704311,0.3118833953278654,0.02134267842366881,0.29216713352396007,0.003777772266350383,0.3291351114442102,0.16040585195421714,0.3291351114442102,0.16040585195421714,0.03699739503647394,0.014554621943754741
Adult Income,Reweighing,Age,XGBoost,0.8652881564131436,0.002293515866763035,0.6802332877799797,0.007523528135542749,0.9185386875526804,0.00227006067662237,0.20215370484690184,0.005116288246657864,0.20253897017983533,0.12535354529119774,0.20253897017983533,0.12535354529119774,0.06136450419409358,0.011159826016586811,0.1559265744986517,0.006099853127338538,0.0794790800797969,0.02014299403637198,0.07611763926366995,0.027435540758893304,0.3280238335164004,0.02217283676567517,0.2565644836350323,0.003971281554807017,0.31149989946933043,0.11538447246350302,0.31149989946933043,0.11538447246350302,0.04097368081275592,0.008286577076460563
Adult Income,Reweighing,Sex,Logistic Regression,0.8442010441191524,0.0022215717488187708,0.6306944167510968,0.0069233119966303006,0.8964620828781829,0.00274556631075176,0.19883801180028238,0.00555825107488036,0.196630356217471,0.11296816525993082,0.186252731078406,0.12933244299871066,0.07671679391826519,0.01750638725373838,0.08356084520463879,0.00808336382067169,0.14729238253770865,0.03556154880996527,0.14729238253770865,0.03556154880996527,0.5996645657159123,0.03776280907014708,0.23297451649125347,0.00355828000994058,0.4977453128724484,0.24027941910714182,0.4977453128724484,0.24027941910714182,0.034905928073809565,0.00892612095285187
Adult Income,Reweighing,Sex,Random Forest,0.8369536288258779,0.003573537105865851,0.637631198214369,0.008271132963904543,0.8744389784361906,0.0033231240590430636,0.22624319179360902,0.001679085462772612,0.16752528733050007,0.10790850988179329,0.15069382450141686,0.1263597940183556,0.0881315538673694,0.009287389231997114,0.15180675329972976,0.007902731074740975,0.06249858099966268,0.008606084964970012,0.024274856388767207,0.019085178162044504,0.41463627194920527,0.02663450323499169,0.28087485937258727,0.005558182712672161,0.37820129294438737,0.2058073014876302,0.3563666948776977,0.24106404992528002,0.05531848873373276,0.01767916352207694
Adult Income,Reweighing,Sex,XGBoost,0.8620739072576518,0.002593282006963633,0.678030310124562,0.008008763743775273,0.9163936222999378,0.001811624875365003,0.2065703855777592,0.005301911944873854,0.1647255766820552,0.10711487308780329,0.15663840908053026,0.11850556528166387,0.07460518240221291,0.0147466182637409,0.09897214623751653,0.007310093061562085,0.13133429599922497,0.029680026395229427,0.13133429599922497,0.029680026395229427,0.5509455086358795,0.02920571782529481,0.24188530328400568,0.005919215224687911,0.41022411949829285,0.16680732699639073,0.41022411949829285,0.16680732699639073,0.048371499128405444,0.012422340550043086
German Credit,Reweighing,Age,Logistic Regression,0.7053333333333334,0.0096032401939253,0.8156441930606654,0.009945818875460411,0.6492486772486773,0.02582854511226654,0.06607678605508496,0.05994523938908394,0.09134940052386757,0.08738631140398172,0.08024540553240456,0.09581978767446583,0.925377152480501,0.07033758067676503,0.020007503709354158,0.011742984507665765,0.039720954741657974,0.02242929100281197,0.02230823519004783,0.012645321965956281,0.9782273967814415,0.012310806452029728,0.13850743504343827,0.08665701598663283,0.18826332044220684,0.11575821908041406,0.16627471104495956,0.13386685420793354,0.8490063608033289,0.1040274803941702
German Credit,Reweighing,Age,Random Forest,0.6799999999999999,0.009718253158075523,0.7850840771849564,0.0077040868845289255,0.6130582010582011,0.01931487442096654,0.097796066930225,0.05277906187236864,0.14726228203689837,0.0778340661913481,0.03536321715583968,0.01882212015423118,0.8784920321431897,0.0650206321726521,0.03127311966969459,0.02604487208826111,0.10700932209998089,0.05001687246921882,0.0526256872042689,0.0286544286973416,0.9617769076377737,0.031553648522458365,0.17327351135270408,0.056858013324926585,0.27793488832387303,0.04622929239226767,0.18541066492473143,0.06493140573571858,0.7911207428943234,0.0700057876722799
German Credit,Reweighing,Age,XGBoost,0.6706666666666667,0.02290075204975684,0.7743443356539237,0.016237748208021242,0.6113862433862434,0.02472934876518614,0.13443981479751768,0.08640882948180693,0.18922058529100658,0.07410952125539523,0.12252332084757844,0.056306278487005965,0.8280229502416467,0.11112819521002133,0.03651135291366159,0.020295999135986547,0.1068996050129896,0.05490821475236243,0.022021081233158844,0.020410202405963675,0.9540268102755375,0.024524709741829135,0.210146595610536,0.04766868058684772,0.2866211922005627,0.04443474395694163,0.20640724508517763,0.0788234610853154,0.7408834820180557,0.06416961449526858
German Credit,Reweighing,Sex,Logistic Regression,0.7060000000000001,0.011879019787470286,0.8157979631671287,0.011561119326692878,0.6492380952380953,0.026497495012897183,0.07355389508728957,0.051498735678545175,0.09088783954512854,0.08640055938841858,0.0791872044742035,0.09364528022137834,0.9173207866009611,0.061550469588567955,0.01781115335733512,0.009156194554700967,0.03315781573483367,0.010046940679903367,0.02359028647209911,0.014517728252221751,0.9803444622942982,0.010315143084868651,0.12986466183544768,0.0942183196915979,0.18702301036468746,0.11872012189870475,0.16627471104495956,0.13386685420793354,0.857108271243478,0.11112226105523831
